"REF_DATE","GEO","DGUID","Age group","Sex","Income source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1981","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","54500","","","","0"
"1982","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","55700","","","","0"
"1983","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","51000","","","","0"
"1984","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","46900","","","","0"
"1985","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","51300","","","","0"
"1986","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","51200","","","","0"
"1987","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","48800","","","","0"
"1988","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","51400","","","","0"
"1989","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","50400","","","","0"
"1990","Calgary, Alberta","2021S0503825","15 years and over","Both sexes","Total income","Average income (excluding zeros)","2022 constant dollars","439","units","0","v107693257","19.1.1.1.4","49800","","","","0"
